Applicant_ID,Gender,Age,Marital_Status,Dependents,Education,Employment_Status,Occupation_Type,City/Town,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Loan_Amount_Requested,Loan_Term,Loan_Purpose,Interest_Rate,Co-Applicant,Transaction_Frequency,Default_Risk,Loan_Approval_Status
24233,Male,49,Single,1,High School,Self-Employed,Freelancer,Urban,112463,2525,750,2,49584,14874,0,32639,115,Personal,5.52,Yes,26,0.54,1
24234,Female,27,Single,1,Graduate,Self-Employed,Professional,Suburban,56413,1548,832,2,46398,19191,0,20000,173,Personal,13.46,No,15,0.29,0
24236,Male,32,Married,3,High School,Employed,Salaried,Urban,57082,4493,323,1,44144,18148,0,10283,186,Education,6.63,Yes,22,0.66,1
24240,Female,34,Married,1,Graduate,Self-Employed,Freelancer,Rural,149820,2316,802,1,39004,14198,1,40811,136,Education,13.08,Yes,9,0.2,1
24247,Female,33,Divorced,2,High School,Self-Employed,Professional,Suburban,102768,1549,789,1,34304,28750,0,29847,67,Personal,4.87,No,28,0.06,1
24248,Male,60,Single,2,High School,Employed,Business,Urban,42039,2024,556,2,31878,14949,0,11274,146,Personal,3.52,No,20,0.74,0
24249,Male,35,Single,3,Graduate,Self-Employed,Freelancer,Urban,119186,1082,770,2,4833,7186,0,30928,94,Education,14.6,No,5,0.47,1
24250,Female,58,Single,2,High School,Self-Employed,Salaried,Urban,67587,3565,325,1,13024,20803,0,21858,18,Education,13.72,Yes,15,0.87,0
24251,Female,25,Married,1,Graduate,Employed,Salaried,Suburban,102894,2037,733,2,38050,12266,0,25350,206,Education,10.09,No,23,0.04,1
24252,Female,57,Married,1,Graduate,Self-Employed,Freelancer,Suburban,51368,1667,481,2,32182,29042,0,11876,75,Education,10.73,No,19,0.73,0
24254,Male,20,Divorced,1,Graduate,Employed,Freelancer,Urban,26865,2965,427,0,42859,24239,0,8951,38,Personal,11.21,Yes,16,0.86,0
24258,Male,37,Divorced,1,High School,Self-Employed,Freelancer,Urban,119372,2117,806,0,7681,5544,1,21288,173,Education,9.08,Yes,7,0.14,1
24259,Female,26,Married,3,Graduate,Employed,Business,Rural,29653,4949,526,2,26492,13088,0,8499,111,Education,8.49,Yes,15,0.65,1
24261,Male,30,Married,2,Graduate,Employed,Freelancer,Suburban,100443,4376,796,0,41334,26698,0,28981,48,Personal,4.61,No,21,0.8,1
24263,Female,37,Married,1,High School,Employed,Salaried,Urban,70695,3499,706,0,39123,1790,0,20097,47,Personal,6.29,Yes,24,0.37,0
24264,Female,43,Married,0,High School,Self-Employed,Business,Suburban,114555,3881,780,0,7665,24267,0,34131,196,Personal,10.01,No,10,0.54,1
24266,Male,35,Married,0,High School,Self-Employed,Professional,Urban,94153,4972,828,1,27383,5130,0,25139,69,Education,5.66,Yes,24,0.89,1
24267,Male,57,Divorced,3,Graduate,Employed,Professional,Urban,30593,4665,333,1,17556,22900,0,9562,64,Education,12.56,No,16,0.97,0
24268,Female,27,Single,0,Graduate,Employed,Freelancer,Urban,71991,4271,721,1,1044,27949,1,20828,29,Education,7.14,Yes,6,0.92,1
24269,Female,36,Single,1,Postgraduate,Employed,Freelancer,Urban,89028,2493,821,2,2942,5201,0,25833,212,Education,10.07,No,23,0.34,1
24271,Female,43,Married,1,Graduate,Employed,Freelancer,Urban,59052,1813,547,1,6663,19271,0,5919,197,Education,12.33,No,12,0.18,0
24272,Male,44,Married,2,Graduate,Self-Employed,Business,Urban,56645,4149,847,2,11611,21438,0,20000,102,Personal,10.13,No,6,0.68,1
24273,Male,47,Single,3,Graduate,Employed,Salaried,Urban,62916,1881,792,0,36356,6389,1,20000,138,Education,13.85,Yes,10,0.5,1
24275,Female,39,Married,1,Graduate,Employed,Business,Urban,75089,4606,731,1,40098,14854,0,22284,214,Personal,6.37,No,18,0.86,1
24277,Male,30,Single,3,Graduate,Unemployed,Business,Urban,89787,544,818,0,46591,1700,1,23565,54,Education,11.93,No,9,0.66,1
24281,Female,41,Single,2,Postgraduate,Self-Employed,Salaried,Urban,110538,4346,756,0,16960,15267,1,23894,130,Personal,7.44,No,8,0.22,1
24283,Female,36,Married,0,High School,Employed,Salaried,Urban,53627,661,766,1,30527,20189,0,20000,143,Education,8.28,Yes,13,0.44,1
24284,Male,36,Married,1,Postgraduate,Employed,Business,Suburban,56935,1355,798,1,356,4308,0,20000,129,Education,5.67,Yes,19,0.79,1
24289,Male,47,Single,2,High School,Employed,Business,Suburban,61670,4686,795,2,39470,13774,1,20000,52,Education,10.74,No,25,0.75,1
24290,Female,28,Single,0,Graduate,Employed,Business,Urban,54042,4342,731,1,2626,2333,0,20000,118,Education,9.92,Yes,6,0.23,1
24291,Female,37,Divorced,0,Postgraduate,Unemployed,Freelancer,Suburban,65523,1693,430,0,32421,22162,1,14006,84,Education,14.41,No,9,0.92,0
24293,Female,32,Married,1,Graduate,Employed,Business,Urban,63418,845,718,0,20559,3216,0,20000,142,Personal,6.37,No,15,0.43,1
24294,Male,28,Divorced,3,High School,Employed,Business,Urban,50590,1138,831,2,9583,7363,0,20000,127,Education,6.14,No,19,0.8,1
24296,Female,21,Divorced,3,High School,Employed,Professional,Rural,37728,1768,447,2,48254,5470,0,10891,41,Education,6.79,Yes,18,0.79,0
24297,Male,27,Single,1,High School,Employed,Salaried,Urban,124688,2376,814,0,47883,17216,0,27269,111,Education,4.73,No,17,0.76,1
24298,Male,45,Married,0,Postgraduate,Employed,Freelancer,Urban,101563,4122,772,0,39397,14481,0,27940,166,Education,7.73,Yes,22,0.33,1
24300,Male,27,Single,2,High School,Employed,Freelancer,Urban,53707,920,530,1,34564,24009,0,16361,77,Education,8.95,No,28,0.16,1
24303,Female,20,Single,0,Postgraduate,Employed,Business,Suburban,46397,1042,415,2,35990,20573,0,7973,138,Education,14.92,No,25,0.49,0
24304,Female,44,Married,0,Graduate,Self-Employed,Freelancer,Suburban,127053,4448,795,0,47862,29083,1,38027,105,Personal,11.82,Yes,23,0.36,1
24310,Male,34,Married,0,Graduate,Employed,Professional,Suburban,84619,3772,807,0,13120,20850,0,24763,196,Personal,9.99,No,11,0.21,1
24311,Female,32,Married,2,Graduate,Employed,Freelancer,Urban,53026,2186,806,1,35344,2880,0,20000,67,Education,5.16,No,15,0.9,1
24313,Female,41,Single,0,Postgraduate,Unemployed,Professional,Suburban,136948,1602,826,2,21216,10398,0,32478,153,Personal,12.7,No,11,0.72,0
24315,Male,28,Married,0,Graduate,Unemployed,Freelancer,Urban,63687,748,784,0,2644,19419,0,20000,180,Education,4.21,Yes,8,0.95,1
24316,Female,46,Divorced,2,High School,Employed,Salaried,Suburban,77511,3731,774,0,49777,14071,0,21799,188,Education,13.73,No,6,0.52,1
24317,Male,47,Married,2,Graduate,Self-Employed,Freelancer,Urban,119616,3437,717,0,24861,13291,0,23317,165,Education,14.38,No,20,0.96,1
24319,Female,35,Single,3,Graduate,Unemployed,Business,Suburban,59527,4348,755,0,37598,16185,0,20000,111,Education,14.06,No,23,0.94,1
24320,Male,33,Married,1,High School,Employed,Freelancer,Suburban,89793,1360,782,2,33952,13036,0,22402,69,Education,14.17,Yes,22,0.96,0
24321,Female,35,Single,3,High School,Self-Employed,Business,Urban,68248,4001,777,2,151,14697,1,20233,188,Personal,3.84,Yes,12,0.12,1
24323,Female,41,Single,2,High School,Employed,Professional,Rural,103589,3533,775,2,29282,18639,0,20649,151,Education,7.02,Yes,9,0.51,1
24326,Male,64,Single,1,Postgraduate,Employed,Freelancer,Urban,30453,858,394,2,410,28,1,6220,60,Education,11.76,No,26,0.87,0
24329,Male,48,Married,1,Graduate,Employed,Business,Urban,53272,4125,748,2,32882,20085,0,20000,31,Education,9.92,No,13,0.22,1
24330,Female,25,Single,3,High School,Self-Employed,Freelancer,Urban,50762,1291,717,0,41638,28117,1,20000,26,Education,4.43,No,12,0.37,1
24333,Male,29,Married,2,High School,Self-Employed,Salaried,Urban,69570,3709,350,2,13958,3707,0,26280,104,Personal,11.79,No,13,0.95,0
24334,Male,33,Single,1,High School,Unemployed,Salaried,Rural,107017,971,720,2,19516,26792,0,26720,162,Education,11.28,No,28,0.28,1
24335,Female,49,Married,1,Graduate,Self-Employed,Business,Urban,83419,4136,749,2,18590,8237,0,20320,172,Education,6.32,No,8,0.88,1
24339,Female,43,Single,1,Postgraduate,Self-Employed,Freelancer,Suburban,127122,1252,797,0,96,21419,0,27570,229,Education,11.83,No,16,0.22,1
24348,Male,37,Single,3,High School,Unemployed,Professional,Urban,72529,4138,795,1,371,18511,1,21126,135,Education,10.69,No,23,0.69,1
24355,Male,42,Single,3,High School,Unemployed,Professional,Urban,54746,2557,729,2,36295,13081,0,20000,192,Education,10.25,Yes,29,0.18,1
24357,Female,50,Single,3,High School,Unemployed,Professional,Suburban,44317,4175,569,0,34688,17685,0,16827,126,Personal,10.81,Yes,28,0.25,0
24361,Female,66,Married,3,Graduate,Unemployed,Salaried,Urban,21932,4195,307,2,31332,20842,0,7487,128,Personal,12.45,Yes,24,0.43,0
24368,Female,29,Divorced,2,High School,Unemployed,Freelancer,Urban,64172,3622,553,2,46933,18163,1,9948,29,Education,7.54,Yes,19,0.22,0
24371,Female,41,Married,0,Graduate,Employed,Salaried,Suburban,34455,2819,314,0,32177,20202,0,13736,164,Personal,12.26,No,22,0.07,0
24374,Female,46,Married,1,High School,Employed,Freelancer,Urban,51068,1124,560,1,5246,26155,0,6884,195,Personal,7.86,Yes,24,0.22,0
24380,Female,36,Divorced,3,High School,Employed,Salaried,Suburban,54786,3758,760,0,23857,12455,0,20000,104,Personal,7.0,Yes,11,0.93,1
24384,Female,46,Single,0,High School,Employed,Business,Rural,70642,1725,743,0,15716,17426,0,20089,136,Personal,3.99,Yes,5,0.24,1
24385,Female,35,Single,0,Postgraduate,Self-Employed,Freelancer,Urban,46355,863,558,0,23155,15191,0,17054,155,Education,8.05,Yes,11,0.82,0
24390,Female,53,Single,2,High School,Self-Employed,Business,Urban,57835,3280,487,0,6779,25057,0,5871,45,Education,14.2,Yes,20,0.0,0
24396,Male,43,Married,0,High School,Self-Employed,Professional,Rural,139131,1176,725,1,23243,28200,1,41618,61,Personal,14.6,Yes,21,0.5,0
24398,Male,33,Married,2,Graduate,Employed,Professional,Suburban,64323,3680,738,1,8745,20319,1,20000,69,Personal,8.76,No,21,0.05,1
24399,Female,47,Divorced,2,High School,Unemployed,Business,Urban,148231,3371,706,0,43577,29121,0,37328,71,Education,3.61,No,14,0.3,0
24405,Male,57,Married,3,Postgraduate,Employed,Professional,Suburban,36264,609,329,1,46159,11853,0,12812,227,Personal,4.76,Yes,7,0.35,0
24411,Female,65,Single,1,High School,Employed,Professional,Suburban,55735,1720,387,1,23375,1954,0,6910,229,Education,10.65,Yes,8,0.18,0
24412,Female,28,Divorced,3,High School,Employed,Business,Urban,67459,3631,813,2,45024,16077,0,20222,55,Education,7.7,Yes,25,0.64,1
24415,Male,20,Single,1,Graduate,Employed,Business,Suburban,44448,2809,336,1,5292,19511,0,9168,54,Education,13.44,No,24,0.38,1
24417,Male,30,Single,0,Graduate,Self-Employed,Business,Suburban,111838,1306,830,0,40020,7183,0,28004,28,Personal,7.1,Yes,26,0.89,1
24418,Male,30,Married,0,Graduate,Self-Employed,Freelancer,Suburban,53821,3723,716,2,16688,9761,1,20000,32,Education,8.97,No,28,0.92,1
24421,Female,58,Married,2,Graduate,Employed,Professional,Urban,29401,1902,597,0,254,5058,1,6965,69,Education,10.83,Yes,11,0.03,0
24423,Male,28,Single,2,High School,Self-Employed,Business,Urban,62461,617,306,1,29863,12458,0,22969,64,Education,9.6,Yes,14,0.73,0
24424,Male,29,Single,3,Graduate,Self-Employed,Freelancer,Urban,60968,1083,312,2,6896,14787,0,17499,159,Education,9.1,No,11,0.45,0
24426,Female,36,Married,1,Graduate,Employed,Business,Urban,126026,3672,746,0,16856,21283,0,20198,194,Personal,4.93,Yes,17,0.59,1
24428,Male,21,Single,1,Graduate,Employed,Business,Urban,40620,614,424,2,43873,8953,0,9952,62,Education,12.15,Yes,13,0.13,0
24429,Male,22,Married,2,Postgraduate,Unemployed,Freelancer,Urban,63620,1490,561,2,2877,23913,0,20349,180,Personal,13.4,Yes,16,0.97,0
24432,Female,35,Single,3,Graduate,Self-Employed,Salaried,Rural,134987,2356,838,2,12330,4974,0,24136,35,Education,14.6,Yes,17,0.41,1
24435,Female,45,Single,0,High School,Self-Employed,Freelancer,Urban,61045,4400,747,1,23545,29013,0,20000,125,Education,14.01,Yes,18,0.7,1
24439,Male,26,Single,2,Postgraduate,Employed,Professional,Urban,128530,3618,801,0,39493,670,0,33107,95,Personal,13.94,No,23,0.64,1
24443,Male,28,Married,0,Postgraduate,Employed,Business,Urban,119308,3764,764,2,44528,26303,0,31956,148,Personal,3.56,No,6,0.18,0
24444,Female,47,Married,0,High School,Self-Employed,Freelancer,Urban,146957,788,715,0,31579,19172,0,43420,220,Education,4.07,Yes,11,0.81,1
24445,Female,30,Married,2,Graduate,Employed,Professional,Urban,72290,926,705,2,18578,28465,1,20837,230,Education,7.3,Yes,5,0.96,1
24446,Female,23,Single,3,Postgraduate,Employed,Freelancer,Suburban,49491,4721,557,0,36524,6346,1,16610,199,Personal,11.95,No,21,0.29,1
24450,Female,47,Single,2,Graduate,Employed,Salaried,Suburban,84338,3064,817,0,47637,9096,0,20778,217,Personal,13.86,Yes,23,0.39,1
24456,Female,31,Single,0,Graduate,Self-Employed,Freelancer,Rural,135042,1208,820,1,16386,14611,0,25133,168,Education,4.79,Yes,19,0.62,1
24457,Male,45,Married,2,Graduate,Employed,Salaried,Urban,141330,3796,831,2,3583,5457,1,30625,77,Education,7.22,No,29,0.7,1
24458,Male,39,Single,2,Graduate,Employed,Salaried,Suburban,94518,3252,812,2,18786,19610,0,24662,84,Personal,11.97,No,9,0.41,0
24460,Male,47,Married,3,High School,Employed,Salaried,Suburban,63673,2151,787,0,9208,256,0,20000,225,Education,4.83,Yes,25,0.09,1
24462,Male,36,Married,1,Postgraduate,Self-Employed,Professional,Suburban,64198,3811,780,2,16286,28562,0,20000,183,Education,11.79,Yes,23,0.62,1
24463,Male,41,Single,2,Graduate,Self-Employed,Salaried,Urban,136303,4772,768,2,17927,22351,0,33799,163,Personal,14.1,No,27,0.95,1
24468,Male,37,Single,1,Graduate,Self-Employed,Salaried,Rural,123722,2028,781,1,3106,25827,1,20759,179,Education,14.35,No,16,0.85,1
24471,Female,31,Single,0,Postgraduate,Unemployed,Professional,Urban,95351,961,822,2,9733,6507,0,24901,36,Personal,11.19,Yes,5,0.39,1
24473,Male,53,Married,1,Graduate,Employed,Professional,Urban,46079,4189,519,0,31394,26875,0,15319,61,Education,4.31,No,11,0.95,1
24479,Female,41,Married,1,Graduate,Unemployed,Professional,Suburban,59511,3176,776,1,41642,20341,0,20000,217,Personal,9.99,Yes,23,0.49,0
24481,Female,41,Married,1,Graduate,Employed,Business,Urban,48897,2184,321,2,35193,5831,0,11198,186,Education,3.73,No,19,0.92,0
24483,Male,31,Single,1,Graduate,Employed,Salaried,Suburban,141629,2000,773,0,5800,3471,1,26198,21,Education,3.67,No,20,0.4,1
24484,Male,34,Single,1,Postgraduate,Employed,Freelancer,Suburban,128725,2285,759,2,805,29556,0,31039,79,Personal,12.76,Yes,21,0.27,1
24485,Male,24,Married,2,High School,Employed,Salaried,Urban,38599,3203,482,0,38151,28490,1,13111,28,Personal,8.52,Yes,7,0.75,0
24491,Female,27,Married,3,High School,Unemployed,Business,Rural,124844,2116,795,0,4444,10847,0,25325,60,Personal,4.91,Yes,17,0.95,1
24492,Female,26,Divorced,0,Postgraduate,Employed,Freelancer,Urban,80459,3135,847,0,40374,5474,0,21935,205,Education,5.71,No,16,0.07,1
24495,Female,44,Married,2,High School,Employed,Professional,Suburban,142736,4545,758,2,35310,7500,0,32986,35,Education,6.26,No,22,0.65,1
24497,Male,49,Married,1,Postgraduate,Self-Employed,Professional,Suburban,110100,4535,767,2,2260,15043,0,25552,96,Personal,8.53,Yes,17,1.0,1
24500,Female,46,Married,2,Graduate,Employed,Freelancer,Rural,99226,3733,709,2,14540,16211,0,27211,89,Education,3.78,Yes,7,0.1,0
24502,Female,48,Single,2,High School,Self-Employed,Salaried,Urban,30554,2329,508,2,16090,1659,1,7808,12,Personal,7.46,Yes,5,0.88,0
24510,Male,33,Married,0,Graduate,Employed,Salaried,Suburban,94459,2784,847,1,30992,8256,1,23853,40,Education,5.56,Yes,19,0.65,1
24511,Male,39,Married,2,Graduate,Employed,Freelancer,Urban,105641,4402,771,1,47631,23227,1,31527,114,Education,7.37,Yes,7,0.3,0
24513,Male,40,Married,3,High School,Employed,Business,Urban,53247,3728,721,0,41083,17161,0,20000,88,Personal,5.9,Yes,24,0.74,1
24514,Female,39,Married,1,High School,Employed,Professional,Urban,125669,2465,739,1,41198,2572,0,36501,141,Personal,3.7,Yes,24,0.98,1
24516,Male,27,Single,2,Postgraduate,Self-Employed,Freelancer,Urban,61744,2481,811,1,22686,26888,0,20000,138,Personal,11.29,No,11,0.38,1
24519,Female,53,Married,1,High School,Unemployed,Professional,Suburban,29401,1002,344,2,13366,1483,1,8014,193,Education,8.33,No,22,0.29,0
24520,Male,20,Single,3,Graduate,Self-Employed,Freelancer,Urban,65112,2489,375,0,47365,10514,0,6818,78,Personal,14.71,No,11,0.88,1
24521,Female,32,Single,1,High School,Self-Employed,Freelancer,Urban,56874,2677,592,1,45886,586,0,5497,37,Education,10.25,No,16,0.51,0
24523,Male,33,Married,2,Graduate,Unemployed,Freelancer,Urban,21341,2189,489,2,38140,21886,1,5263,197,Personal,10.65,No,9,0.78,0
24527,Female,36,Married,2,High School,Employed,Professional,Urban,78019,1747,747,2,3035,26753,0,21257,201,Education,13.86,No,8,0.51,1
24529,Male,32,Divorced,3,High School,Employed,Salaried,Suburban,139905,1421,798,0,42312,7847,0,41966,84,Personal,8.23,Yes,24,0.64,0
24530,Male,28,Single,3,Postgraduate,Employed,Professional,Urban,21535,4425,421,1,30424,23243,0,8603,28,Personal,8.96,No,16,0.52,1
24536,Female,47,Single,2,High School,Employed,Professional,Urban,80778,4498,762,2,45852,23995,0,22867,151,Education,6.29,No,22,0.38,1
24539,Female,38,Married,0,High School,Employed,Professional,Urban,86697,1549,847,1,32181,19414,0,23907,217,Education,7.79,Yes,18,0.53,1
24542,Male,52,Married,3,Postgraduate,Self-Employed,Business,Urban,33120,2415,302,0,13511,27772,0,11252,187,Education,14.05,No,15,0.12,0
24545,Female,32,Married,2,High School,Self-Employed,Professional,Urban,80763,2140,752,2,21146,17119,0,22282,204,Education,7.55,Yes,26,0.48,1
24547,Male,33,Single,0,Graduate,Unemployed,Salaried,Urban,80122,2578,811,2,28017,10140,0,23489,181,Education,13.1,No,29,0.28,1
24550,Male,47,Single,1,Graduate,Employed,Freelancer,Suburban,99954,3194,771,2,38568,11807,1,22990,238,Education,8.47,No,20,0.63,1
24552,Male,23,Married,2,High School,Employed,Salaried,Urban,56860,994,433,0,29641,510,0,22732,86,Education,6.64,No,21,0.57,0
24553,Male,42,Married,2,Graduate,Employed,Professional,Suburban,76540,4541,700,1,46798,11533,0,21899,13,Education,14.0,Yes,15,0.88,1
24556,Female,44,Married,1,Postgraduate,Employed,Salaried,Urban,140318,3493,755,1,26733,14406,0,31182,24,Education,5.17,Yes,12,0.96,0
24557,Male,40,Married,2,Postgraduate,Employed,Salaried,Urban,94830,4491,700,2,47799,5120,0,22896,175,Personal,10.02,No,6,0.37,1
24558,Female,31,Married,1,Graduate,Employed,Freelancer,Rural,149867,4938,700,1,1095,925,0,37753,206,Personal,8.68,Yes,19,0.66,1
24562,Male,35,Married,1,Graduate,Employed,Salaried,Suburban,53529,2222,419,2,20387,21846,0,7356,225,Personal,10.92,No,12,0.28,0
24563,Male,41,Single,0,Postgraduate,Unemployed,Salaried,Urban,91441,924,724,2,40885,12193,0,27190,73,Personal,12.89,No,11,0.59,1
24567,Female,43,Married,0,High School,Employed,Freelancer,Urban,88009,4001,730,0,4437,14530,0,25270,38,Education,11.76,No,10,0.28,1
24568,Female,19,Married,3,High School,Employed,Business,Rural,54641,2840,435,1,259,2600,0,7323,204,Education,11.34,No,5,0.98,0
24569,Male,36,Single,2,Graduate,Employed,Business,Suburban,24468,3004,503,0,28739,4200,0,8742,89,Education,11.13,Yes,18,0.49,0
24572,Female,40,Single,1,High School,Employed,Salaried,Urban,136429,4387,765,1,12943,3155,1,29594,65,Education,12.56,Yes,5,0.45,1
24574,Female,36,Married,1,Graduate,Self-Employed,Professional,Urban,141485,4349,819,2,20979,1572,0,36013,229,Education,12.57,No,22,0.28,1
24577,Female,26,Single,3,Postgraduate,Unemployed,Salaried,Suburban,77929,636,810,2,47397,29001,0,20256,93,Personal,6.16,Yes,8,0.97,0
24581,Female,26,Married,0,Graduate,Self-Employed,Freelancer,Urban,104574,654,832,0,42298,29357,0,23177,101,Personal,9.52,No,27,0.69,0
24586,Male,67,Married,2,Postgraduate,Unemployed,Business,Urban,57773,1057,557,2,3973,6710,0,12607,161,Education,6.21,No,28,0.19,1
24587,Female,48,Married,2,Graduate,Unemployed,Freelancer,Suburban,148771,3070,827,2,740,16821,0,26857,150,Education,4.51,No,20,0.25,1
24589,Female,48,Married,0,Postgraduate,Self-Employed,Professional,Urban,143345,1489,729,1,23247,25262,0,40170,106,Education,13.02,No,15,0.95,1
24591,Female,44,Married,1,High School,Unemployed,Professional,Urban,66791,2849,707,1,24976,16931,0,20017,213,Education,7.93,No,29,0.56,1
24593,Female,29,Single,1,High School,Self-Employed,Professional,Urban,51178,1486,325,1,1642,5418,0,9155,21,Education,7.54,No,13,0.22,0
24599,Male,43,Single,2,Postgraduate,Employed,Salaried,Suburban,82880,2636,800,1,5671,22521,1,24166,15,Personal,4.58,No,16,0.18,1
24601,Male,28,Married,0,Graduate,Employed,Salaried,Urban,99776,2524,788,2,14153,20991,0,20035,104,Education,13.77,No,18,0.68,1
24607,Male,42,Married,0,Graduate,Employed,Business,Urban,132817,4835,769,2,18358,13063,0,31414,60,Education,10.71,Yes,26,0.12,1
24609,Female,44,Married,3,Graduate,Employed,Salaried,Urban,59346,3068,777,1,32335,25207,0,20000,34,Personal,6.75,Yes,20,0.77,1
24611,Female,32,Divorced,3,High School,Unemployed,Professional,Urban,98217,2352,795,2,7056,15974,0,20532,223,Education,13.52,No,14,0.57,1
24613,Female,43,Single,1,High School,Self-Employed,Professional,Urban,96342,4262,805,0,32545,21666,1,20932,187,Personal,11.51,Yes,7,0.11,1
24618,Female,44,Single,0,High School,Employed,Salaried,Suburban,74818,3301,794,2,36533,19817,0,21128,203,Personal,8.02,No,25,0.79,1
24621,Female,35,Married,0,Postgraduate,Employed,Business,Suburban,97296,2639,713,0,22373,21540,0,27886,142,Personal,9.89,No,24,0.91,1
24622,Female,59,Married,1,Graduate,Employed,Freelancer,Urban,50729,4179,589,0,35803,14431,0,12893,188,Education,10.67,Yes,6,0.87,1
24623,Female,32,Married,2,Postgraduate,Self-Employed,Salaried,Suburban,73894,1561,775,2,44198,6526,0,20520,60,Personal,4.29,No,29,0.89,1
24626,Female,35,Married,1,High School,Self-Employed,Freelancer,Urban,101729,3369,792,0,38367,4307,0,20825,104,Personal,12.73,No,25,0.34,0
24628,Male,45,Married,1,Graduate,Employed,Freelancer,Suburban,115233,1187,721,2,13526,23974,1,32649,73,Education,12.23,Yes,12,0.8,1
24629,Male,22,Married,2,Graduate,Self-Employed,Business,Suburban,49520,2646,424,0,28510,14192,0,5580,179,Education,10.65,Yes,15,0.96,0
24632,Female,31,Married,2,Graduate,Employed,Freelancer,Suburban,22954,4295,571,0,31206,14553,0,7182,167,Education,4.49,Yes,12,0.1,1
24636,Male,43,Single,1,Postgraduate,Unemployed,Professional,Urban,106993,2569,840,0,9574,9072,0,21809,134,Education,5.79,Yes,8,0.38,1
24638,Male,44,Single,0,High School,Employed,Salaried,Urban,66731,2043,821,1,30903,24086,0,20008,196,Education,11.86,No,21,0.29,0
24639,Female,65,Married,0,Graduate,Employed,Business,Urban,65753,543,508,0,19502,11943,1,22308,65,Personal,8.74,Yes,21,0.1,0
24641,Female,40,Married,1,High School,Self-Employed,Business,Urban,53306,3053,820,0,454,18041,0,20000,139,Education,6.9,Yes,12,0.56,1
24643,Female,33,Married,0,Graduate,Employed,Salaried,Rural,98017,2951,744,0,11954,22403,0,24962,131,Education,12.16,No,24,0.67,1
24647,Male,30,Single,3,Graduate,Employed,Freelancer,Urban,61398,644,497,1,18908,17984,0,9250,156,Education,9.47,No,23,0.17,0
24651,Male,41,Single,3,High School,Unemployed,Business,Urban,63184,4066,775,2,39712,22919,0,20000,219,Education,5.89,No,27,0.47,1
24652,Female,49,Divorced,1,Postgraduate,Unemployed,Freelancer,Suburban,148183,4902,701,2,908,7814,1,24598,106,Education,9.49,Yes,8,0.52,1
24653,Female,38,Single,1,Graduate,Employed,Salaried,Urban,148234,2463,781,1,49324,14219,0,41129,19,Education,9.65,Yes,8,0.63,0
24657,Female,63,Single,0,Postgraduate,Employed,Business,Urban,42562,2673,412,2,29959,25036,0,14127,166,Education,14.64,No,11,0.61,1
24661,Female,36,Single,0,High School,Employed,Professional,Suburban,103381,1411,834,0,9320,12064,1,24429,68,Personal,8.89,No,14,0.0,1
24662,Male,69,Divorced,0,Graduate,Self-Employed,Professional,Suburban,33767,3633,422,2,33113,17264,0,6947,43,Education,7.16,No,17,0.53,0
24663,Female,28,Divorced,1,Graduate,Employed,Salaried,Urban,76189,1750,788,0,15889,8172,0,21525,17,Personal,12.67,No,6,0.77,1
24664,Female,69,Married,2,Graduate,Employed,Salaried,Rural,58213,821,457,0,22732,7911,0,21806,179,Education,11.03,Yes,28,0.07,0
24666,Male,30,Single,1,High School,Employed,Freelancer,Urban,131322,3031,779,2,7060,3794,0,20944,119,Personal,14.33,Yes,15,0.08,1
24668,Male,44,Single,0,High School,Unemployed,Professional,Suburban,137919,3084,846,1,2266,12186,0,26415,53,Education,14.79,No,18,0.08,1
24671,Female,36,Married,2,Graduate,Self-Employed,Freelancer,Urban,59692,2666,785,0,32596,18028,0,20000,116,Personal,5.34,No,26,0.17,1
24677,Male,45,Single,1,High School,Unemployed,Salaried,Urban,63425,986,775,2,41902,22959,0,20000,144,Personal,5.63,Yes,9,0.01,0
24679,Male,56,Married,0,High School,Employed,Salaried,Urban,57261,3835,587,1,20562,16981,0,12593,192,Personal,3.98,No,6,0.96,0
24680,Female,37,Married,1,Graduate,Self-Employed,Business,Urban,34843,1373,555,2,26419,9786,0,5218,161,Education,5.31,Yes,29,0.34,0
24682,Male,51,Single,3,Postgraduate,Self-Employed,Salaried,Urban,48975,4818,434,1,4029,19214,1,12570,238,Personal,13.8,No,18,0.23,0
24683,Male,67,Married,1,Graduate,Self-Employed,Professional,Urban,65298,4795,479,1,1991,16202,0,24911,79,Education,7.93,Yes,25,0.49,0
24684,Female,38,Single,0,Graduate,Self-Employed,Professional,Suburban,142756,4587,768,1,18850,23957,0,20152,204,Education,6.29,Yes,12,0.6,1
24685,Female,39,Married,1,High School,Employed,Freelancer,Rural,123657,4509,775,0,39361,27543,0,27114,140,Education,10.47,No,20,0.44,1
24691,Female,39,Single,2,Graduate,Self-Employed,Salaried,Urban,104676,1081,779,0,3171,24575,0,24501,154,Education,7.01,No,11,0.08,1
24693,Male,43,Divorced,0,High School,Self-Employed,Salaried,Urban,143254,1123,757,0,46756,15230,1,23084,121,Personal,4.4,Yes,19,0.81,0
24695,Male,28,Single,3,Graduate,Employed,Salaried,Suburban,143943,784,708,2,27973,6935,0,21772,85,Personal,14.17,Yes,22,0.64,0
24700,Male,36,Married,1,High School,Unemployed,Professional,Urban,65639,645,706,2,16582,1832,0,20000,157,Personal,14.65,Yes,12,0.98,1
